Line,Time,Clk1 E,Clk1 D,Clk2 E,Clk2 D,Clk1out E,Clk1out D,Clk2out E,Clk2out D,Clk12 E,Clk12 D,Clk1in E,Clk1in D,Clk2in E,Clk2in D,InA in E,InA in D,False in E,False in D,True In E,True In D,InA out E,InA out D,False out E,False out D,True out E,True out D,
1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,
2,0.01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,
3,0.02,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,
4,0.03,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,
5,0.04,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,True,False,True,True,False,True,True,
6,0.05,True,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,
7,0.06,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,
8,0.07,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,
9,0.08,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,True,False,True,True,False,True,True,
10,0.09,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,
11,0.1,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,
12,0.11,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,
13,0.12,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,True,False,True,True,False,True,True,
14,0.13,True,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,
15,0.14,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,
16,0.15,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,
17,0.16,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,True,False,True,True,False,True,True,
18,0.17,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,
19,0.18,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,
20,0.19,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,
21,0.2,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,True,False,True,True,False,True,True,
22,0.21,True,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,
