Line;Time;Floating Point Input 1;Floating Point Input 2;Floating Point Input 3;Floating Point Input 4;Floating Point Input 5;
1;0;10;50;11;9;-10;
2;0.1;0;0;1;-1;0;
3;0.2;0;0;1;-1;0;
4;0.3;0;0;1;-1;0;
5;0.4;0;0;1;-1;0;
6;0.5;0;0;1;-1;0;
7;0.6;0;0;1;-1;0;
8;0.7;0;0;1;-1;0;
9;0.8;0;0;1;-1;0;
10;0.9;0;0;1;-1;0;
11;1;0;0;1;-1;0;
12;1.1;10;50;11;9;-10;
13;1.2;0;0;1;-1;0;
14;1.3;0;0;1;-1;0;
15;1.4;0;0;1;-1;0;
16;1.5;0;0;1;-1;0;
17;1.6;0;0;1;-1;0;
18;1.7;0;0;1;-1;0;
19;1.8;0;0;1;-1;0;
20;1.9;0;0;1;-1;0;
21;2;0;0;1;-1;0;
22;2.1;10;50;11;9;-10;
