Line;Time;saw 1;saw 2;saw 3;result;
1;0;0;0;0;0;
2;0.01;-10;-10;-10;-30;
3;0.02;-10;-10;-10;-30;
4;0.03;-9.8;-9.6;-9.2;-28.6;
5;0.04;-9.6;-9.2;-8.4;-27.2;
6;0.05;-9.4;-8.8;-7.6;-25.8;
7;0.06;-9.2;-8.4;-6.8;-24.4;
8;0.07;-9;-8;-6;-23;
9;0.08;-8.8;-7.6;-5.2;-21.6;
10;0.09;-8.6;-7.2;-4.4;-20.2;
11;0.1;-8.4;-6.8;-3.6;-18.8;
12;0.11;-8.2;-6.4;-2.8;-17.4;
13;0.12;-8;-6;-2;-16;
14;0.13;-7.8;-5.6;-1.2;-14.6;
15;0.14;-7.6;-5.2;-0.4;-13.2;
16;0.15;-7.4;-4.8;0.4;-11.8;
17;0.16;-7.2;-4.4;1.2;-10.4;
18;0.17;-7;-4;2;-9;
19;0.18;-6.8;-3.6;2.8;-7.6;
20;0.19;-6.6;-3.2;3.6;-6.2;
21;0.2;-6.4;-2.8;4.4;-4.8;
22;0.21;-6.2;-2.4;5.2;-3.4;
23;0.22;-6;-2;6;-2;
24;0.23;-5.8;-1.6;6.8;-0.6;
25;0.24;-5.6;-1.2;7.6;0.8;
26;0.25;-5.4;-0.8;8.4;2.2;
27;0.26;-5.2;-0.4;9.2;3.6;
28;0.27;-5;0;-10;-15;
29;0.28;-4.8;0.4;-9.2;-13.6;
30;0.29;-4.6;0.8;-8.4;-12.2;
31;0.3;-4.4;1.2;-7.6;-10.8;
32;0.31;-4.2;1.6;-6.8;-9.4;
33;0.32;-4;2;-6;-8;
34;0.33;-3.8;2.4;-5.2;-6.6;
35;0.34;-3.6;2.8;-4.4;-5.2;
36;0.35;-3.4;3.2;-3.6;-3.8;
37;0.36;-3.2;3.6;-2.8;-2.4;
38;0.37;-3;4;-2;-1;
39;0.38;-2.8;4.4;-1.2;0.4;
40;0.39;-2.6;4.8;-0.4;1.8;
41;0.4;-2.4;5.2;0.4;3.2;
42;0.41;-2.2;5.6;1.2;4.6;
43;0.42;-2;6;2;6;
44;0.43;-1.8;6.4;2.8;7.4;
45;0.44;-1.6;6.8;3.6;8.8;
46;0.45;-1.4;7.2;4.4;10.2;
47;0.46;-1.2;7.6;5.2;11.6;
48;0.47;-1;8;6;13;
49;0.48;-0.8;8.4;6.8;14.4;
50;0.49;-0.6;8.8;7.6;15.8;
51;0.5;-0.4;9.2;8.4;17.2;
52;0.51;-0.2;9.6;9.2;18.6;
53;0.52;0;-10;-10;-20;
54;0.53;0.2;-9.6;-9.2;-18.6;
55;0.54;0.4;-9.2;-8.4;-17.2;
56;0.55;0.6;-8.8;-7.6;-15.8;
57;0.56;0.8;-8.4;-6.8;-14.4;
58;0.57;1;-8;-6;-13;
59;0.58;1.2;-7.6;-5.2;-11.6;
60;0.59;1.4;-7.2;-4.4;-10.2;
61;0.6;1.6;-6.8;-3.6;-8.8;
62;0.61;1.8;-6.4;-2.8;-7.4;
63;0.62;2;-6;-2;-6;
64;0.63;2.2;-5.6;-1.2;-4.6;
65;0.64;2.4;-5.2;-0.4;-3.2;
66;0.65;2.6;-4.8;0.4;-1.8;
67;0.66;2.8;-4.4;1.2;-0.4;
68;0.67;3;-4;2;1;
69;0.68;3.2;-3.6;2.8;2.4;
70;0.69;3.4;-3.2;3.6;3.8;
71;0.7;3.6;-2.8;4.4;5.2;
72;0.71;3.8;-2.4;5.2;6.6;
73;0.72;4;-2;6;8;
74;0.73;4.2;-1.6;6.8;9.4;
75;0.74;4.4;-1.2;7.6;10.8;
76;0.75;4.6;-0.8;8.4;12.2;
77;0.76;4.8;-0.4;9.2;13.6;
78;0.77;5;0;-10;-5;
79;0.78;5.2;0.4;-9.2;-3.6;
80;0.79;5.4;0.8;-8.4;-2.2;
81;0.8;5.6;1.2;-7.6;-0.8;
82;0.81;5.8;1.6;-6.8;0.6;
83;0.82;6;2;-6;2;
84;0.83;6.2;2.4;-5.2;3.4;
85;0.84;6.4;2.8;-4.4;4.8;
86;0.85;6.6;3.2;-3.6;6.2;
87;0.86;6.8;3.6;-2.8;7.6;
88;0.87;7;4;-2;9;
89;0.88;7.2;4.4;-1.2;10.4;
90;0.89;7.4;4.8;-0.4;11.8;
91;0.9;7.6;5.2;0.4;13.2;
92;0.91;7.8;5.6;1.2;14.6;
93;0.92;8;6;2;16;
94;0.93;8.2;6.4;2.8;17.4;
95;0.94;8.4;6.8;3.6;18.8;
96;0.95;8.6;7.2;4.4;20.2;
97;0.96;8.8;7.6;5.2;21.6;
98;0.97;9;8;6;23;
99;0.98;9.2;8.4;6.8;24.4;
100;0.99;9.4;8.8;7.6;25.8;
101;1;9.6;9.2;8.4;27.2;
102;1.01;9.8;9.6;9.2;28.6;
103;1.02;-10;-10;-10;-30;
104;1.03;-9.8;-9.6;-9.2;-28.6;
105;1.04;-9.6;-9.2;-8.4;-27.2;
106;1.05;-9.4;-8.8;-7.6;-25.8;
107;1.06;-9.2;-8.4;-6.8;-24.4;
108;1.07;-9;-8;-6;-23;
109;1.08;-8.8;-7.6;-5.2;-21.6;
110;1.09;-8.6;-7.2;-4.4;-20.2;
111;1.1;-8.4;-6.8;-3.6;-18.8;
112;1.11;-8.2;-6.4;-2.8;-17.4;
