Line;Time;saw 1;saw 2;result;
1;0;0;0;0;
2;0.01;-10;-10;1;
3;0.02;-10;-10;1;
4;0.03;-9.8;-9.6;1.02083;
5;0.04;-9.6;-9.2;1.04348;
6;0.05;-9.4;-8.8;1.06818;
7;0.06;-9.2;-8.4;1.09524;
8;0.07;-9;-8;1.125;
9;0.08;-8.8;-7.6;1.15789;
10;0.09;-8.6;-7.2;1.19444;
11;0.1;-8.4;-6.8;1.23529;
12;0.11;-8.2;-6.4;1.28125;
13;0.12;-8;-6;1.33333;
14;0.13;-7.8;-5.6;1.39286;
15;0.14;-7.6;-5.2;1.46154;
16;0.15;-7.4;-4.8;1.54167;
17;0.16;-7.2;-4.4;1.63636;
18;0.17;-7;-4;1.75;
19;0.18;-6.8;-3.6;1.88889;
20;0.19;-6.6;-3.2;2.0625;
21;0.2;-6.4;-2.8;2.28571;
22;0.21;-6.2;-2.4;2.58333;
23;0.22;-6;-2;3;
24;0.23;-5.8;-1.6;3.625;
25;0.24;-5.6;-1.2;4.66667;
26;0.25;-5.4;-0.8;6.75;
27;0.26;-5.2;-0.4;13;
28;0.27;-5;0;-inf;
29;0.28;-4.8;0.4;-12;
30;0.29;-4.6;0.8;-5.75;
31;0.3;-4.4;1.2;-3.66667;
32;0.31;-4.2;1.6;-2.625;
33;0.32;-4;2;-2;
34;0.33;-3.8;2.4;-1.58333;
35;0.34;-3.6;2.8;-1.28571;
36;0.35;-3.4;3.2;-1.0625;
37;0.36;-3.2;3.6;-0.888889;
38;0.37;-3;4;-0.75;
39;0.38;-2.8;4.4;-0.636364;
40;0.39;-2.6;4.8;-0.541667;
41;0.4;-2.4;5.2;-0.461538;
42;0.41;-2.2;5.6;-0.392857;
43;0.42;-2;6;-0.333333;
44;0.43;-1.8;6.4;-0.28125;
45;0.44;-1.6;6.8;-0.235294;
46;0.45;-1.4;7.2;-0.194444;
47;0.46;-1.2;7.6;-0.157895;
48;0.47;-1;8;-0.125;
49;0.48;-0.8;8.4;-0.0952381;
50;0.49;-0.6;8.8;-0.0681818;
51;0.5;-0.4;9.2;-0.0434783;
52;0.51;-0.2;9.6;-0.0208333;
53;0.52;0;-10;-0;
54;0.53;0.2;-9.6;-0.0208333;
55;0.54;0.4;-9.2;-0.0434783;
56;0.55;0.6;-8.8;-0.0681818;
57;0.56;0.8;-8.4;-0.0952381;
58;0.57;1;-8;-0.125;
59;0.58;1.2;-7.6;-0.157895;
60;0.59;1.4;-7.2;-0.194444;
61;0.6;1.6;-6.8;-0.235294;
62;0.61;1.8;-6.4;-0.28125;
63;0.62;2;-6;-0.333333;
64;0.63;2.2;-5.6;-0.392857;
65;0.64;2.4;-5.2;-0.461538;
66;0.65;2.6;-4.8;-0.541667;
67;0.66;2.8;-4.4;-0.636364;
68;0.67;3;-4;-0.75;
69;0.68;3.2;-3.6;-0.888889;
70;0.69;3.4;-3.2;-1.0625;
71;0.7;3.6;-2.8;-1.28571;
72;0.71;3.8;-2.4;-1.58333;
73;0.72;4;-2;-2;
74;0.73;4.2;-1.6;-2.625;
75;0.74;4.4;-1.2;-3.66667;
76;0.75;4.6;-0.8;-5.75;
77;0.76;4.8;-0.4;-12;
78;0.77;5;0;inf;
79;0.78;5.2;0.4;13;
80;0.79;5.4;0.8;6.75;
81;0.8;5.6;1.2;4.66667;
82;0.81;5.8;1.6;3.625;
83;0.82;6;2;3;
84;0.83;6.2;2.4;2.58333;
85;0.84;6.4;2.8;2.28571;
86;0.85;6.6;3.2;2.0625;
87;0.86;6.8;3.6;1.88889;
88;0.87;7;4;1.75;
89;0.88;7.2;4.4;1.63636;
90;0.89;7.4;4.8;1.54167;
91;0.9;7.6;5.2;1.46154;
92;0.91;7.8;5.6;1.39286;
93;0.92;8;6;1.33333;
94;0.93;8.2;6.4;1.28125;
95;0.94;8.4;6.8;1.23529;
96;0.95;8.6;7.2;1.19444;
97;0.96;8.8;7.6;1.15789;
98;0.97;9;8;1.125;
99;0.98;9.2;8.4;1.09524;
100;0.99;9.4;8.8;1.06818;
101;1;9.6;9.2;1.04348;
102;1.01;9.8;9.6;1.02083;
103;1.02;-10;-10;1;
104;1.03;-9.8;-9.6;1.02083;
105;1.04;-9.6;-9.2;1.04348;
106;1.05;-9.4;-8.8;1.06818;
107;1.06;-9.2;-8.4;1.09524;
108;1.07;-9;-8;1.125;
109;1.08;-8.8;-7.6;1.15789;
110;1.09;-8.6;-7.2;1.19444;
111;1.1;-8.4;-6.8;1.23529;
112;1.11;-8.2;-6.4;1.28125;
