Line;Time;saw 1;saw 2;
1;0;0;0;
2;0.01;-10;4.53999e-05;
3;0.02;-10;4.53999e-05;
4;0.03;-9.8;5.54516e-05;
5;0.04;-9.6;6.77287e-05;
6;0.05;-9.4;8.27241e-05;
7;0.06;-9.2;0.000101039;
8;0.07;-9;0.00012341;
9;0.08;-8.8;0.000150733;
10;0.09;-8.6;0.000184106;
11;0.1;-8.4;0.000224867;
12;0.11;-8.2;0.000274654;
13;0.12;-8;0.000335463;
14;0.13;-7.8;0.000409735;
15;0.14;-7.6;0.000500451;
16;0.15;-7.4;0.000611253;
17;0.16;-7.2;0.000746586;
18;0.17;-7;0.000911882;
19;0.18;-6.8;0.00111378;
20;0.19;-6.6;0.00136037;
21;0.2;-6.4;0.00166156;
22;0.21;-6.2;0.00202943;
23;0.22;-6;0.00247875;
24;0.23;-5.8;0.00302755;
25;0.24;-5.6;0.00369786;
26;0.25;-5.4;0.00451658;
27;0.26;-5.2;0.00551656;
28;0.27;-5;0.00673795;
29;0.28;-4.8;0.00822975;
30;0.29;-4.6;0.0100518;
31;0.3;-4.4;0.0122773;
32;0.31;-4.2;0.0149956;
33;0.32;-4;0.0183156;
34;0.33;-3.8;0.0223708;
35;0.34;-3.6;0.0273237;
36;0.35;-3.4;0.0333733;
37;0.36;-3.2;0.0407622;
38;0.37;-3;0.0497871;
39;0.38;-2.8;0.0608101;
40;0.39;-2.6;0.0742736;
41;0.4;-2.4;0.090718;
42;0.41;-2.2;0.110803;
43;0.42;-2;0.135335;
44;0.43;-1.8;0.165299;
45;0.44;-1.6;0.201897;
46;0.45;-1.4;0.246597;
47;0.46;-1.2;0.301194;
48;0.47;-1;0.367879;
49;0.48;-0.8;0.449329;
50;0.49;-0.6;0.548812;
51;0.5;-0.4;0.67032;
52;0.51;-0.2;0.818731;
53;0.52;0;1;
54;0.53;0.2;1.2214;
55;0.54;0.4;1.49182;
56;0.55;0.6;1.82212;
57;0.56;0.8;2.22554;
58;0.57;1;2.71828;
59;0.58;1.2;3.32012;
60;0.59;1.4;4.0552;
61;0.6;1.6;4.95303;
62;0.61;1.8;6.04965;
63;0.62;2;7.38906;
64;0.63;2.2;9.02501;
65;0.64;2.4;11.0232;
66;0.65;2.6;13.4637;
67;0.66;2.8;16.4446;
68;0.67;3;20.0855;
69;0.68;3.2;24.5325;
70;0.69;3.4;29.9641;
71;0.7;3.6;36.5982;
72;0.71;3.8;44.7012;
73;0.72;4;54.5982;
74;0.73;4.2;66.6863;
75;0.74;4.4;81.4509;
76;0.75;4.6;99.4843;
77;0.76;4.8;121.51;
78;0.77;5;148.413;
79;0.78;5.2;181.272;
80;0.79;5.4;221.406;
81;0.8;5.6;270.426;
82;0.81;5.8;330.3;
83;0.82;6;403.429;
84;0.83;6.2;492.749;
85;0.84;6.4;601.845;
86;0.85;6.6;735.095;
87;0.86;6.8;897.847;
88;0.87;7;1096.63;
89;0.88;7.2;1339.43;
90;0.89;7.4;1635.98;
91;0.9;7.6;1998.2;
92;0.91;7.8;2440.6;
93;0.92;8;2980.96;
94;0.93;8.2;3640.95;
95;0.94;8.4;4447.07;
96;0.95;8.6;5431.66;
97;0.96;8.8;6634.24;
98;0.97;9;8103.08;
99;0.98;9.2;9897.13;
100;0.99;9.4;12088.4;
101;1;9.6;14764.8;
102;1.01;9.8;18033.7;
103;1.02;-10;4.53999e-05;
104;1.03;-9.8;5.54516e-05;
105;1.04;-9.6;6.77287e-05;
106;1.05;-9.4;8.27241e-05;
107;1.06;-9.2;0.000101039;
108;1.07;-9;0.00012341;
109;1.08;-8.8;0.000150733;
110;1.09;-8.6;0.000184106;
111;1.1;-8.4;0.000224867;
112;1.11;-8.2;0.000274654;
