Line,Time,saw 1,saw 2,result,
1,0,0,0,1000,
2,0.01,0,0,1,
3,0.02,0,0,1,
4,0.03,0.2,0.4,0.525306,
5,0.04,0.4,0.8,0.48045,
6,0.05,0.6,1.2,0.541728,
7,0.06,0.8,1.6,0.699752,
8,0.07,1,2,1,
9,0.08,1.2,2.4,1.54894,
10,0.09,1.4,2.8,2.56542,
11,0.1,1.6,3.2,4.4997,
12,0.11,1.8,3.6,8.29814,
13,0.12,2,4,16,
14,0.13,2.2,4.4,32.1114,
15,0.14,2.4,4.8,66.8365,
16,0.15,2.6,5.2,143.834,
17,0.16,2.8,5.6,319.216,
18,0.17,3,6,729,
19,0.18,3.2,6.4,1709.86,
20,0.19,3.4,6.8,4112.03,
21,0.2,3.6,7.2,10124.6,
22,0.21,3.8,7.6,25489.1,
23,0.22,4,8,65536,
24,0.23,4.2,8.4,171907,
25,0.24,4.4,8.8,459604,
26,0.25,4.6,9.2,1.25133e+06,
27,0.26,4.8,9.6,3.4667e+06,
28,0.27,5,10,9.76562e+06,
29,0.28,5.2,10.4,2.79534e+07,
30,0.29,5.4,10.8,8.12555e+07,
31,0.3,5.6,11.2,2.39721e+08,
32,0.31,5.8,11.6,7.17406e+08,
33,0.32,6,12,2.17678e+09,
34,0.33,6.2,12.4,6.69356e+09,
35,0.34,6.4,12.8,2.08499e+10,
36,0.35,6.6,13.2,6.57627e+10,
37,0.36,6.8,13.6,2.09953e+11,
38,0.37,7,14,6.78223e+11,
39,0.38,7.2,14.4,2.21609e+12,
40,0.39,7.4,14.8,7.322e+12,
41,0.4,7.6,15.2,2.44549e+13,
42,0.41,7.8,15.6,8.25422e+13,
43,0.42,8,16,2.81475e+14,
44,0.43,8.2,16.4,9.69499e+14,
45,0.44,8.4,16.8,3.37203e+15,
46,0.45,8.6,17.2,1.18406e+16,
47,0.46,8.8,17.6,4.19658e+16,
48,0.47,9,18,1.50095e+17,
49,0.48,9.2,18.4,5.41622e+17,
50,0.49,9.4,18.8,1.97153e+18,
51,0.5,9.6,19.2,7.23782e+18,
52,0.51,9.8,19.6,2.67936e+19,
53,0.52,10,0,1,
54,0.53,10.2,0.4,2.53186,
55,0.54,10.4,0.8,6.51068,
56,0.55,10.6,1.2,16.9968,
57,0.56,10.8,1.6,45.0275,
58,0.57,11,2,121,
59,0.58,11.2,2.4,329.703,
60,0.59,11.4,2.8,910.612,
61,0.6,11.6,3.2,2548.39,
62,0.61,11.8,3.6,7223.96,
63,0.62,12,4,20736,
64,0.63,12.2,4.4,60253.6,
65,0.64,12.4,4.8,177184,
66,0.65,12.6,5.2,527141,
67,0.66,12.8,5.6,1.58627e+06,
68,0.67,13,6,4.82681e+06,
69,0.68,13.2,6.4,1.48482e+07,
70,0.69,13.4,6.8,4.6165e+07,
71,0.7,13.6,7.2,1.45037e+08,
72,0.71,13.8,7.6,4.60342e+08,
73,0.72,14,8,1.47579e+09,
74,0.73,14.2,8.4,4.77774e+09,
75,0.74,14.4,8.8,1.56167e+10,
76,0.75,14.6,9.2,5.15284e+10,
77,0.76,14.8,9.6,1.71598e+11,
78,0.77,15,10,5.76650e+11,
79,0.78,15.2,10.4,1.95512e+12,
80,0.79,15.4,10.8,6.68688e+12,
81,0.8,15.6,11.2,2.30672e+13,
82,0.81,15.8,11.6,8.02458e+13,
83,0.82,16,12,2.81475e+14,
84,0.83,16.2,12.4,9.95374e+14,
85,0.84,16.4,12.8,3.54814e+15,
86,0.85,16.6,13.2,1.27476e+16,
87,0.86,16.8,13.6,4.61537e+16,
88,0.87,17,14,1.68378e+17,
89,0.88,17.2,14.4,6.18885e+17,
90,0.89,17.4,14.8,2.29155e+18,
91,0.9,17.6,15.2,8.54658e+18,
92,0.91,17.8,15.6,3.21035e+19,
93,0.92,18,16,1.2144e+20,
94,0.93,18.2,16.4,4.62563e+20,
95,0.94,18.4,16.8,1.77394e+21,
96,0.95,18.6,17.2,6.84893e+21,
97,0.96,18.8,17.6,2.66182e+22,
98,0.97,19,18,1.04127e+23,
99,0.98,19.2,18.4,4.09961e+23,
100,0.99,19.4,18.8,1.62432e+24,
101,1,19.6,19.2,6.47615e+24,
102,1.01,19.8,19.6,2.59799e+25,
