Line;Time;saw 1;result;
1;0;0;0;
2;0.01;-2;nan;
3;0.02;-2;nan;
4;0.03;-1.96;nan;
5;0.04;-1.92;nan;
6;0.05;-1.88;nan;
7;0.06;-1.84;nan;
8;0.07;-1.8;nan;
9;0.08;-1.76;nan;
10;0.09;-1.72;nan;
11;0.1;-1.68;nan;
12;0.11;-1.64;nan;
13;0.12;-1.6;nan;
14;0.13;-1.56;nan;
15;0.14;-1.52;nan;
16;0.15;-1.48;nan;
17;0.16;-1.44;nan;
18;0.17;-1.4;nan;
19;0.18;-1.36;nan;
20;0.19;-1.32;nan;
21;0.2;-1.28;nan;
22;0.21;-1.24;nan;
23;0.22;-1.2;nan;
24;0.23;-1.16;nan;
25;0.24;-1.12;nan;
26;0.25;-1.08;nan;
27;0.26;-1.04;nan;
28;0.27;-1;-1.5708;
29;0.28;-0.96;-1.287;
30;0.29;-0.92;-1.16808;
31;0.3;-0.88;-1.07586;
32;0.31;-0.84;-0.997283;
33;0.32;-0.8;-0.927295;
34;0.33;-0.76;-0.863313;
35;0.34;-0.72;-0.803802;
36;0.35;-0.68;-0.747763;
37;0.36;-0.64;-0.694498;
38;0.37;-0.6;-0.643501;
39;0.38;-0.56;-0.594386;
40;0.39;-0.52;-0.546851;
41;0.4;-0.48;-0.500655;
42;0.41;-0.44;-0.455599;
43;0.42;-0.4;-0.411517;
44;0.43;-0.36;-0.368268;
45;0.44;-0.32;-0.325729;
46;0.45;-0.28;-0.283794;
47;0.46;-0.24;-0.242366;
48;0.47;-0.2;-0.201358;
49;0.48;-0.16;-0.160691;
50;0.49;-0.12;-0.12029;
51;0.5;-0.08;-0.0800856;
52;0.51;-0.04;-0.0400107;
53;0.52;0;0;
54;0.53;0.04;0.0400107;
55;0.54;0.08;0.0800856;
56;0.55;0.12;0.12029;
57;0.56;0.16;0.160691;
58;0.57;0.2;0.201358;
59;0.58;0.24;0.242366;
60;0.59;0.28;0.283794;
61;0.6;0.32;0.325729;
62;0.61;0.36;0.368268;
63;0.62;0.4;0.411517;
64;0.63;0.44;0.455599;
65;0.64;0.48;0.500655;
66;0.65;0.52;0.546851;
67;0.66;0.56;0.594386;
68;0.67;0.6;0.643501;
69;0.68;0.64;0.694498;
70;0.69;0.68;0.747763;
71;0.7;0.72;0.803802;
72;0.71;0.76;0.863313;
73;0.72;0.8;0.927295;
74;0.73;0.84;0.997283;
75;0.74;0.88;1.07586;
76;0.75;0.92;1.16808;
77;0.76;0.96;1.287;
78;0.77;1;1.5708;
79;0.78;1.04;nan;
80;0.79;1.08;nan;
81;0.8;1.12;nan;
82;0.81;1.16;nan;
83;0.82;1.2;nan;
84;0.83;1.24;nan;
85;0.84;1.28;nan;
86;0.85;1.32;nan;
87;0.86;1.36;nan;
88;0.87;1.4;nan;
89;0.88;1.44;nan;
90;0.89;1.48;nan;
91;0.9;1.52;nan;
92;0.91;1.56;nan;
93;0.92;1.6;nan;
94;0.93;1.64;nan;
95;0.94;1.68;nan;
96;0.95;1.72;nan;
97;0.96;1.76;nan;
98;0.97;1.8;nan;
99;0.98;1.84;nan;
100;0.99;1.88;nan;
101;1;1.92;nan;
102;1.01;1.96;nan;
103;1.02;-2;nan;
104;1.03;-1.96;nan;
105;1.04;-1.92;nan;
106;1.05;-1.88;nan;
107;1.06;-1.84;nan;
108;1.07;-1.8;nan;
109;1.08;-1.76;nan;
110;1.09;-1.72;nan;
111;1.1;-1.68;nan;
112;1.11;-1.64;nan;
