Line,Time,saw 1,Result 0,Result 1000,Result -1000,
1,0,0,0,1000,-1000,
2,0.01,-10,-11013.2,-11013.2,-11013.2,
3,0.02,-10,-11013.2,-11013.2,-11013.2,
4,0.03,-9.8,-9016.87,-9016.87,-9016.87,
5,0.04,-9.6,-7382.39,-7382.39,-7382.39,
6,0.05,-9.4,-6044.19,-6044.19,-6044.19,
7,0.06,-9.2,-4948.56,-4948.56,-4948.56,
8,0.07,-9,-4051.54,-4051.54,-4051.54,
9,0.08,-8.8,-3317.12,-3317.12,-3317.12,
10,0.09,-8.6,-2715.83,-2715.83,-2715.83,
11,0.1,-8.4,-2223.53,-2223.53,-2223.53,
12,0.11,-8.2,-1820.48,-1820.48,-1820.48,
13,0.12,-8,-1490.48,-1490.48,-1490.48,
14,0.13,-7.8,-1220.3,-1220.3,-1220.3,
15,0.14,-7.6,-999.098,-999.098,-999.098,
16,0.15,-7.4,-817.992,-817.992,-817.992,
17,0.16,-7.2,-669.715,-669.715,-669.715,
18,0.17,-7,-548.316,-548.316,-548.316,
19,0.18,-6.8,-448.923,-448.923,-448.923,
20,0.19,-6.6,-367.547,-367.547,-367.547,
21,0.2,-6.4,-300.922,-300.922,-300.922,
22,0.21,-6.2,-246.374,-246.374,-246.374,
23,0.22,-6,-201.713,-201.713,-201.713,
24,0.23,-5.8,-165.148,-165.148,-165.148,
25,0.24,-5.6,-135.211,-135.211,-135.211,
26,0.25,-5.4,-110.701,-110.701,-110.701,
27,0.26,-5.2,-90.6334,-90.6334,-90.6334,
28,0.27,-5,-74.2032,-74.2032,-74.2032,
29,0.28,-4.8,-60.7511,-60.7511,-60.7511,
30,0.29,-4.6,-49.7371,-49.7371,-49.7371,
31,0.3,-4.4,-40.7193,-40.7193,-40.7193,
32,0.31,-4.2,-33.3357,-33.3357,-33.3357,
33,0.32,-4,-27.2899,-27.2899,-27.2899,
34,0.33,-3.8,-22.3394,-22.3394,-22.3394,
35,0.34,-3.6,-18.2855,-18.2855,-18.2855,
36,0.35,-3.4,-14.9654,-14.9654,-14.9654,
37,0.36,-3.2,-12.2459,-12.2459,-12.2459,
38,0.37,-3,-10.0179,-10.0179,-10.0179,
39,0.38,-2.8,-8.19192,-8.19192,-8.19192,
40,0.39,-2.6,-6.69473,-6.69473,-6.69473,
41,0.4,-2.4,-5.46623,-5.46623,-5.46623,
42,0.41,-2.2,-4.45711,-4.45711,-4.45711,
43,0.42,-2,-3.62686,-3.62686,-3.62686,
44,0.43,-1.8,-2.94217,-2.94217,-2.94217,
45,0.44,-1.6,-2.37557,-2.37557,-2.37557,
46,0.45,-1.4,-1.9043,-1.9043,-1.9043,
47,0.46,-1.2,-1.50946,-1.50946,-1.50946,
48,0.47,-1,-1.1752,-1.1752,-1.1752,
49,0.48,-0.8,-0.888106,-0.888106,-0.888106,
50,0.49,-0.6,-0.636654,-0.636654,-0.636654,
51,0.5,-0.4,-0.410752,-0.410752,-0.410752,
52,0.51,-0.2,-0.201336,-0.201336,-0.201336,
53,0.52,0,0,0,0,
54,0.53,0.2,0.201336,0.201336,0.201336,
55,0.54,0.4,0.410752,0.410752,0.410752,
56,0.55,0.6,0.636654,0.636654,0.636654,
