Line;Time;clk 1;out 1;out 2;
1;0;Falsch;0;0;
2;0.01;Wahr;0;0;
3;0.02;Wahr;0;0;
4;0.03;Wahr;0.0627905;0.0627905;
5;0.04;Falsch;0.125333;0.0627905;
6;0.05;Falsch;0.187381;0.0627905;
7;0.06;Wahr;0.24869;0.24869;
8;0.07;Wahr;0.309017;0.309017;
9;0.08;Falsch;0.368125;0.309017;
10;0.09;Falsch;0.425779;0.309017;
11;0.1;Wahr;0.481754;0.481754;
12;0.11;Wahr;0.535827;0.535827;
13;0.12;Falsch;0.587785;0.535827;
14;0.13;Falsch;0.637424;0.535827;
15;0.14;Wahr;0.684547;0.684547;
16;0.15;Wahr;0.728969;0.728969;
17;0.16;Falsch;0.770513;0.728969;
18;0.17;Falsch;0.809017;0.728969;
19;0.18;Wahr;0.844328;0.844328;
20;0.19;Wahr;0.876307;0.876307;
21;0.2;Falsch;0.904827;0.876307;
22;0.21;Falsch;0.929776;0.876307;
23;0.22;Wahr;0.951057;0.951057;
24;0.23;Wahr;0.968583;0.968583;
25;0.24;Falsch;0.982287;0.968583;
26;0.25;Falsch;0.992115;0.968583;
27;0.26;Wahr;0.998027;0.998027;
28;0.27;Wahr;1;1;
29;0.28;Falsch;0.998027;1;
30;0.29;Falsch;0.992115;1;
31;0.3;Wahr;0.982287;0.982287;
32;0.31;Wahr;0.968583;0.968583;
33;0.32;Falsch;0.951057;0.968583;
34;0.33;Falsch;0.929776;0.968583;
35;0.34;Wahr;0.904827;0.904827;
36;0.35;Wahr;0.876307;0.876307;
37;0.36;Falsch;0.844328;0.876307;
38;0.37;Falsch;0.809017;0.876307;
39;0.38;Wahr;0.770513;0.770513;
40;0.39;Wahr;0.728969;0.728969;
41;0.4;Falsch;0.684547;0.728969;
42;0.41;Falsch;0.637424;0.728969;
43;0.42;Wahr;0.587785;0.587785;
44;0.43;Wahr;0.535827;0.535827;
45;0.44;Falsch;0.481754;0.535827;
46;0.45;Falsch;0.425779;0.535827;
47;0.46;Wahr;0.368125;0.368125;
48;0.47;Wahr;0.309017;0.309017;
49;0.48;Falsch;0.24869;0.309017;
50;0.49;Falsch;0.187381;0.309017;
51;0.5;Wahr;0.125333;0.125333;
52;0.51;Wahr;0.0627905;0.0627905;
53;0.52;Falsch;1.22461e-16;0.0627905;
54;0.53;Falsch;-0.0627905;0.0627905;
55;0.54;Wahr;-0.125333;-0.125333;
56;0.55;Wahr;-0.187381;-0.187381;
57;0.56;Falsch;-0.24869;-0.187381;
58;0.57;Falsch;-0.309017;-0.187381;
59;0.58;Wahr;-0.368125;-0.368125;
60;0.59;Wahr;-0.425779;-0.425779;
61;0.6;Falsch;-0.481754;-0.425779;
62;0.61;Falsch;-0.535827;-0.425779;
63;0.62;Wahr;-0.587785;-0.587785;
64;0.63;Wahr;-0.637424;-0.637424;
65;0.64;Falsch;-0.684547;-0.637424;
66;0.65;Falsch;-0.728969;-0.637424;
67;0.66;Wahr;-0.770513;-0.770513;
68;0.67;Wahr;-0.809017;-0.809017;
69;0.68;Falsch;-0.844328;-0.809017;
70;0.69;Falsch;-0.876307;-0.809017;
71;0.7;Wahr;-0.904827;-0.904827;
72;0.71;Wahr;-0.929776;-0.929776;
73;0.72;Falsch;-0.951057;-0.929776;
74;0.73;Falsch;-0.968583;-0.929776;
75;0.74;Wahr;-0.982287;-0.982287;
76;0.75;Wahr;-0.992115;-0.992115;
77;0.76;Falsch;-0.998027;-0.992115;
78;0.77;Falsch;-1;-0.992115;
79;0.78;Wahr;-0.998027;-0.998027;
80;0.79;Wahr;-0.992115;-0.992115;
81;0.8;Falsch;-0.982287;-0.992115;
82;0.81;Falsch;-0.968583;-0.992115;
83;0.82;Wahr;-0.951057;-0.951057;
84;0.83;Wahr;-0.929776;-0.929776;
85;0.84;Falsch;-0.904827;-0.929776;
86;0.85;Falsch;-0.876307;-0.929776;
87;0.86;Wahr;-0.844328;-0.844328;
88;0.87;Wahr;-0.809017;-0.809017;
89;0.88;Falsch;-0.770513;-0.809017;
90;0.89;Falsch;-0.728969;-0.809017;
91;0.9;Wahr;-0.684547;-0.684547;
92;0.91;Wahr;-0.637424;-0.637424;
93;0.92;Falsch;-0.587785;-0.637424;
94;0.93;Falsch;-0.535827;-0.637424;
95;0.94;Wahr;-0.481754;-0.481754;
96;0.95;Wahr;-0.425779;-0.425779;
97;0.96;Falsch;-0.368125;-0.425779;
98;0.97;Falsch;-0.309017;-0.425779;
99;0.98;Wahr;-0.24869;-0.24869;
100;0.99;Wahr;-0.187381;-0.187381;
101;1;Falsch;-0.125333;-0.187381;
102;1.01;Falsch;-0.0627905;-0.187381;
103;1.02;Wahr;0;0;
104;1.03;Wahr;0.0627905;0.0627905;
105;1.04;Falsch;0.125333;0.0627905;
106;1.05;Falsch;0.187381;0.0627905;
107;1.06;Wahr;0.24869;0.24869;
108;1.07;Wahr;0.309017;0.309017;
109;1.08;Falsch;0.368125;0.309017;
110;1.09;Falsch;0.425779;0.309017;
111;1.1;Wahr;0.481754;0.481754;
112;1.11;Wahr;0.535827;0.535827;
