Line;Time;clk 1;out 1;out 2;Floating Point Input 1;Floating Point Input 2;
1;0;False;0;-1;0;-1;
2;0.01;True;0;0;10;10;
3;0.02;True;0;0;10;10;
4;0.03;True;0.0627905;0.0627905;10.0628;10.0628;
5;0.04;False;0.125333;0.0627905;10.1253;10.0628;
6;0.05;False;0.187381;0.0627905;10.1874;10.0628;
7;0.06;True;0.24869;0.24869;10.2487;10.2487;
8;0.07;True;0.309017;0.309017;10.309;10.309;
9;0.08;False;0.368125;0.309017;10.3681;10.309;
10;0.09;False;0.425779;0.309017;10.4258;10.309;
11;0.1;True;0.481754;0.481754;10.4818;10.4818;
12;0.11;True;0.535827;0.535827;10.5358;10.5358;
13;0.12;False;0.587785;0.535827;10.5878;10.5358;
14;0.13;False;0.637424;0.535827;10.6374;10.5358;
15;0.14;True;0.684547;0.684547;10.6845;10.6845;
16;0.15;True;0.728969;0.728969;10.729;10.729;
17;0.16;False;0.770513;0.728969;10.7705;10.729;
18;0.17;False;0.809017;0.728969;10.809;10.729;
19;0.18;True;0.844328;0.844328;10.8443;10.8443;
20;0.19;True;0.876307;0.876307;10.8763;10.8763;
21;0.2;False;0.904827;0.876307;10.9048;10.8763;
22;0.21;False;0.929776;0.876307;10.9298;10.8763;
