Line,Time,Def 0,Def 1,Def -1,1 ExtConn,2 ExtConn,3 ExtConn,4 ExtConn,Saw,Loop 1,Loop 2,Loop 3,Loop 4,
1,0,0,1,-1,-11,-11,-11,-11,-11,0,0,0,0,
2,0.01,0,1,-1,-11,-11,-11,-11,-11,0,0,0,0,
3,0.02,0,1,-1,-10.78,-10.78,-10.78,-10.78,-10.78,0,0,0,0,
4,0.03,0,1,-1,-10.56,-10.56,-10.56,-10.56,-10.56,0,0,0,0,
5,0.04,0,1,-1,-10.34,-10.34,-10.34,-10.34,-10.34,0,0,0,0,
6,0.05,0,1,-1,-10.12,-10.12,-10.12,-10.12,-10.12,0,0,0,0,
7,0.06,0,1,-1,-9.9,-9.9,-9.9,-9.9,-9.9,0,0,0,0,
8,0.07,0,1,-1,-9.68,-9.68,-9.68,-9.68,-9.68,0,0,0,0,
9,0.08,0,1,-1,-9.46,-9.46,-9.46,-9.46,-9.46,0,0,0,0,
10,0.09,0,1,-1,-9.24,-9.24,-9.24,-9.24,-9.24,0,0,0,0,
11,0.1,0,1,-1,-9.02,-9.02,-9.02,-9.02,-9.02,0,0,0,0,
12,0.11,0,1,-1,-8.8,-8.8,-8.8,-8.8,-8.8,0,0,0,0,
