Line,Time,saw,saw delay,out,add,sub,mul,div,mod,abs,
1,0,-11,0,-11,0,0,0,0,0,0,
2,0.01,-11,-11,-11,-22,0,121,1,0,11,
3,0.02,-10.78,-11,-10.78,-22,0,121,1,0,11,
4,0.03,-10.56,-10.78,-10.56,-21.56,0,116.208,1,0,10.78,
5,0.04,-10.34,-10.56,-10.34,-21.12,0,111.514,1,0,10.56,
6,0.05,-10.12,-10.34,-10.12,-20.68,0,106.916,1,0,10.34,
7,0.06,-9.9,-10.12,-9.9,-20.24,0,102.414,1,0,10.12,
8,0.07,-9.68,-9.9,-9.68,-19.8,0,98.01,1,0,9.9,
9,0.08,-9.46,-9.68,-9.46,-19.36,0,93.7024,1,0,9.68,
10,0.09,-9.24,-9.46,-9.24,-18.92,0,89.4916,1,0,9.46,
11,0.1,-9.02,-9.24,-9.02,-18.48,0,85.3776,1,0,9.24,
12,0.11,-8.8,-9.02,-8.8,-18.04,0,81.3604,1,0,9.02,
