Line;Time;Def False;Def True;not Def False;not Def True;Def False not;Def True not;not Def False not;not Def True not;in;not in;in not;not in not;out;not out;out not;not out not;clk2;not clk2;clk2 not;Loop;clk 1 direct;clk 2 direct;
1;0;False;True;True;False;True;False;False;True;True;False;False;True;True;False;False;True;True;False;False;False;True;True;
2;1e-05;False;True;True;False;True;False;False;True;True;False;False;True;True;False;False;True;True;False;False;True;True;True;
3;2e-05;False;True;True;False;True;False;False;True;True;False;False;True;True;False;False;True;False;True;True;False;True;False;
4;3e-05;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;True;False;False;True;False;True;
5;4e-05;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;False;True;True;False;False;False;
6;5e-05;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;True;False;False;True;False;True;
7;6e-05;False;True;True;False;True;False;False;True;True;False;False;True;True;False;False;True;False;True;True;False;True;False;
8;7e-05;False;True;True;False;True;False;False;True;True;False;False;True;True;False;False;True;True;False;False;True;True;True;
9;8e-05;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;False;True;True;False;False;False;
10;9e-05;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;True;False;False;True;False;True;
11;0.0001;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;False;True;True;False;False;False;
12;0.00011;False;True;True;False;True;False;False;True;True;False;False;True;True;False;False;True;True;False;False;True;True;True;
13;0.00012;False;True;True;False;True;False;False;True;True;False;False;True;True;False;False;True;False;True;True;False;True;False;
14;0.00013;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;True;False;False;True;False;True;
15;0.00014;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;False;True;True;False;False;False;
16;0.00015;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;True;False;False;True;False;True;
17;0.00016;False;True;True;False;True;False;False;True;True;False;False;True;True;False;False;True;False;True;True;False;True;False;
18;0.00017;False;True;True;False;True;False;False;True;True;False;False;True;True;False;False;True;True;False;False;True;True;True;
19;0.00018;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;False;True;True;False;False;False;
20;0.00019;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;True;False;False;True;False;True;
21;0.0002;False;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;False;True;True;False;False;False;
22;0.00021;False;True;True;False;True;False;False;True;True;False;False;True;True;False;False;True;True;False;False;True;True;True;
