Line,Time,Inactive E,Inactive D,False E,False D,True E,True D,Clk1 E,Clk1 D,1 x ExtConn1 E,1 x ExtConn1 D,2 x ExtConn1 E,2 x ExtConn1 D,4 x ExtConn1 E,4 x ExtConn1 D,Clk2 E,Clk2 D,1 x ExtConn2 E,1 x ExtConn2 D,2 x ExtConn2 E,2 x ExtConn2 D,
1,0,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2,0.01,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
3,0.02,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True,
4,0.03,False,True,True,False,True,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True,
5,0.04,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,
6,0.05,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,
7,0.06,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,
8,0.07,False,True,True,False,True,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True,
9,0.08,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,
10,0.09,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
11,0.1,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True,
12,0.11,False,True,True,False,True,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True,
13,0.12,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,
14,0.13,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,
15,0.14,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,
16,0.15,False,True,True,False,True,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True,
17,0.16,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,
18,0.17,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
19,0.18,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True,
20,0.19,False,True,True,False,True,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True,
21,0.2,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,
22,0.21,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,
