Line;Time;Floating Point Input 1;Floating Point Input 2;Floating Point Input 3;Floating Point Input 4;Floating Point Input 5;
1;0;-1;-1;-1;-1;-1;
2;0.01;-1;-1;-1;-1;-1;
3;0.02;-0.96;-0.98;-0.992;-0.92;-0.6;
4;0.03;-0.92;-0.96;-0.984;-0.84;-0.2;
5;0.04;-0.88;-0.94;-0.976;-0.76;0.2;
6;0.05;-0.84;-0.92;-0.968;-0.68;0.6;
7;0.06;-0.8;-0.9;-0.96;-0.6;1;
8;0.07;-0.76;-0.88;-0.952;-0.52;0.6;
9;0.08;-0.72;-0.86;-0.944;-0.44;0.2;
10;0.09;-0.68;-0.84;-0.936;-0.36;-0.2;
11;0.1;-0.64;-0.82;-0.928;-0.28;-0.6;
12;0.11;-0.6;-0.8;-0.92;-0.2;-1;
13;0.12;-0.56;-0.78;-0.912;-0.12;-0.6;
14;0.13;-0.52;-0.76;-0.904;-0.04;-0.2;
15;0.14;-0.48;-0.74;-0.896;0.04;0.2;
16;0.15;-0.44;-0.72;-0.888;0.12;0.6;
17;0.16;-0.4;-0.7;-0.88;0.2;1;
18;0.17;-0.36;-0.68;-0.872;0.28;0.6;
19;0.18;-0.32;-0.66;-0.864;0.36;0.2;
20;0.19;-0.28;-0.64;-0.856;0.44;-0.2;
21;0.2;-0.24;-0.62;-0.848;0.52;-0.6;
22;0.21;-0.2;-0.6;-0.84;0.6;-1;
23;0.22;-0.16;-0.58;-0.832;0.68;-0.6;
24;0.23;-0.12;-0.56;-0.824;0.76;-0.2;
25;0.24;-0.08;-0.54;-0.816;0.84;0.2;
26;0.25;-0.04;-0.52;-0.808;0.92;0.6;
27;0.26;0;-0.5;-0.8;1;1;
28;0.27;0.04;-0.48;-0.792;0.92;0.6;
29;0.28;0.08;-0.46;-0.784;0.84;0.2;
30;0.29;0.12;-0.44;-0.776;0.76;-0.2;
31;0.3;0.16;-0.42;-0.768;0.68;-0.6;
32;0.31;0.2;-0.4;-0.76;0.6;-1;
33;0.32;0.24;-0.38;-0.752;0.52;-0.6;
34;0.33;0.28;-0.36;-0.744;0.44;-0.2;
35;0.34;0.32;-0.34;-0.736;0.36;0.2;
36;0.35;0.36;-0.32;-0.728;0.28;0.6;
37;0.36;0.4;-0.3;-0.72;0.2;1;
38;0.37;0.44;-0.28;-0.712;0.12;0.6;
39;0.38;0.48;-0.26;-0.704;0.04;0.2;
40;0.39;0.52;-0.24;-0.696;-0.04;-0.2;
41;0.4;0.56;-0.22;-0.688;-0.12;-0.6;
42;0.41;0.6;-0.2;-0.68;-0.2;-1;
43;0.42;0.64;-0.18;-0.672;-0.28;-0.6;
44;0.43;0.68;-0.16;-0.664;-0.36;-0.2;
45;0.44;0.72;-0.14;-0.656;-0.44;0.2;
46;0.45;0.76;-0.12;-0.648;-0.52;0.6;
47;0.46;0.8;-0.1;-0.64;-0.6;1;
48;0.47;0.84;-0.08;-0.632;-0.68;0.6;
49;0.48;0.88;-0.06;-0.624;-0.76;0.2;
50;0.49;0.92;-0.04;-0.616;-0.84;-0.2;
51;0.5;0.96;-0.02;-0.608;-0.92;-0.6;
52;0.51;1;0;-0.6;-1;-1;
53;0.52;0.96;0.02;-0.592;-0.92;-0.6;
54;0.53;0.92;0.04;-0.584;-0.84;-0.2;
55;0.54;0.88;0.06;-0.576;-0.76;0.2;
56;0.55;0.84;0.08;-0.568;-0.68;0.6;
57;0.56;0.8;0.1;-0.56;-0.6;1;
58;0.57;0.76;0.12;-0.552;-0.52;0.6;
59;0.58;0.72;0.14;-0.544;-0.44;0.2;
60;0.59;0.68;0.16;-0.536;-0.36;-0.2;
61;0.6;0.64;0.18;-0.528;-0.28;-0.6;
62;0.61;0.6;0.2;-0.52;-0.2;-1;
63;0.62;0.56;0.22;-0.512;-0.12;-0.6;
64;0.63;0.52;0.24;-0.504;-0.04;-0.2;
65;0.64;0.48;0.26;-0.496;0.04;0.2;
66;0.65;0.44;0.28;-0.488;0.12;0.6;
67;0.66;0.4;0.3;-0.48;0.2;1;
68;0.67;0.36;0.32;-0.472;0.28;0.6;
69;0.68;0.32;0.34;-0.464;0.36;0.2;
70;0.69;0.28;0.36;-0.456;0.44;-0.2;
71;0.7;0.24;0.38;-0.448;0.52;-0.6;
72;0.71;0.2;0.4;-0.44;0.6;-1;
73;0.72;0.16;0.42;-0.432;0.68;-0.6;
74;0.73;0.12;0.44;-0.424;0.76;-0.2;
75;0.74;0.08;0.46;-0.416;0.84;0.2;
76;0.75;0.04;0.48;-0.408;0.92;0.6;
77;0.76;0;0.5;-0.4;1;1;
78;0.77;-0.04;0.52;-0.392;0.92;0.6;
79;0.78;-0.08;0.54;-0.384;0.84;0.2;
80;0.79;-0.12;0.56;-0.376;0.76;-0.2;
81;0.8;-0.16;0.58;-0.368;0.68;-0.6;
82;0.81;-0.2;0.6;-0.36;0.6;-1;
83;0.82;-0.24;0.62;-0.352;0.52;-0.6;
84;0.83;-0.28;0.64;-0.344;0.44;-0.2;
85;0.84;-0.32;0.66;-0.336;0.36;0.2;
86;0.85;-0.36;0.68;-0.328;0.28;0.6;
87;0.86;-0.4;0.7;-0.32;0.2;1;
88;0.87;-0.44;0.72;-0.312;0.12;0.6;
89;0.88;-0.48;0.74;-0.304;0.04;0.2;
90;0.89;-0.52;0.76;-0.296;-0.04;-0.2;
91;0.9;-0.56;0.78;-0.288;-0.12;-0.6;
92;0.91;-0.6;0.8;-0.28;-0.2;-1;
93;0.92;-0.64;0.82;-0.272;-0.28;-0.6;
94;0.93;-0.68;0.84;-0.264;-0.36;-0.2;
95;0.94;-0.72;0.86;-0.256;-0.44;0.2;
96;0.95;-0.76;0.88;-0.248;-0.52;0.6;
97;0.96;-0.8;0.9;-0.24;-0.6;1;
98;0.97;-0.84;0.92;-0.232;-0.68;0.6;
99;0.98;-0.88;0.94;-0.224;-0.76;0.2;
100;0.99;-0.92;0.96;-0.216;-0.84;-0.2;
101;1;-0.96;0.98;-0.208;-0.92;-0.6;
102;1.01;-1;1;-0.2;-1;-1;
103;1.02;-0.96;0.98;-0.192;-0.92;-0.6;
104;1.03;-0.92;0.96;-0.184;-0.84;-0.2;
105;1.04;-0.88;0.94;-0.176;-0.76;0.2;
106;1.05;-0.84;0.92;-0.168;-0.68;0.6;
107;1.06;-0.8;0.9;-0.16;-0.6;1;
108;1.07;-0.76;0.88;-0.152;-0.52;0.6;
109;1.08;-0.72;0.86;-0.144;-0.44;0.2;
110;1.09;-0.68;0.84;-0.136;-0.36;-0.2;
111;1.1;-0.64;0.82;-0.128;-0.28;-0.6;
112;1.11;-0.6;0.8;-0.12;-0.2;-1;
113;1.12;-0.56;0.78;-0.112;-0.12;-0.6;
114;1.13;-0.52;0.76;-0.104;-0.04;-0.2;
115;1.14;-0.48;0.74;-0.096;0.04;0.2;
116;1.15;-0.44;0.72;-0.088;0.12;0.6;
117;1.16;-0.4;0.7;-0.08;0.2;1;
118;1.17;-0.36;0.68;-0.072;0.28;0.6;
119;1.18;-0.32;0.66;-0.064;0.36;0.2;
120;1.19;-0.28;0.64;-0.056;0.44;-0.2;
121;1.2;-0.24;0.62;-0.048;0.52;-0.6;
122;1.21;-0.2;0.6;-0.04;0.6;-1;
123;1.22;-0.16;0.58;-0.032;0.68;-0.6;
124;1.23;-0.12;0.56;-0.024;0.76;-0.2;
125;1.24;-0.08;0.54;-0.016;0.84;0.2;
126;1.25;-0.04;0.52;-0.008;0.92;0.6;
127;1.26;0;0.5;0;1;1;
128;1.27;0.04;0.48;0.008;0.92;0.6;
129;1.28;0.08;0.46;0.016;0.84;0.2;
130;1.29;0.12;0.44;0.024;0.76;-0.2;
131;1.3;0.16;0.42;0.032;0.68;-0.6;
132;1.31;0.2;0.4;0.04;0.6;-1;
133;1.32;0.24;0.38;0.048;0.52;-0.6;
134;1.33;0.28;0.36;0.056;0.44;-0.2;
135;1.34;0.32;0.34;0.064;0.36;0.2;
136;1.35;0.36;0.32;0.072;0.28;0.6;
137;1.36;0.4;0.3;0.08;0.2;1;
138;1.37;0.44;0.28;0.088;0.12;0.6;
139;1.38;0.48;0.26;0.096;0.04;0.2;
140;1.39;0.52;0.24;0.104;-0.04;-0.2;
141;1.4;0.56;0.22;0.112;-0.12;-0.6;
142;1.41;0.6;0.2;0.12;-0.2;-1;
143;1.42;0.64;0.18;0.128;-0.28;-0.6;
144;1.43;0.68;0.16;0.136;-0.36;-0.2;
145;1.44;0.72;0.14;0.144;-0.44;0.2;
146;1.45;0.76;0.12;0.152;-0.52;0.6;
147;1.46;0.8;0.1;0.16;-0.6;1;
148;1.47;0.84;0.08;0.168;-0.68;0.6;
149;1.48;0.88;0.06;0.176;-0.76;0.2;
150;1.49;0.92;0.04;0.184;-0.84;-0.2;
151;1.5;0.96;0.02;0.192;-0.92;-0.6;
