Line,Time,saw 1,saw 2,result,
1,0,0,0,0,
2,0.01,-10,0,1,
3,0.02,-10,0,1,
4,0.03,-9.8,0.4,nan,
5,0.04,-9.6,0.8,nan,
6,0.05,-9.4,1.2,nan,
7,0.06,-9.2,1.6,nan,
8,0.07,-9,2,81,
9,0.08,-8.8,2.4,nan,
10,0.09,-8.6,2.8,nan,
11,0.1,-8.4,3.2,nan,
12,0.11,-8.2,3.6,nan,
13,0.12,-8,4,4096,
14,0.13,-7.8,4.4,nan,
15,0.14,-7.6,4.8,nan,
16,0.15,-7.4,5.2,nan,
17,0.16,-7.2,5.6,nan,
18,0.17,-7,6,117649,
19,0.18,-6.8,6.4,nan,
20,0.19,-6.6,6.8,nan,
21,0.2,-6.4,7.2,nan,
22,0.21,-6.2,7.6,nan,
23,0.22,-6,8,1.67962e+06,
24,0.23,-5.8,8.4,nan,
25,0.24,-5.6,8.8,nan,
26,0.25,-5.4,9.2,nan,
27,0.26,-5.2,9.6,nan,
28,0.27,-5,10,9.76562e+06,
29,0.28,-4.8,10.4,nan,
30,0.29,-4.6,10.8,nan,
31,0.3,-4.4,11.2,nan,
32,0.31,-4.2,11.6,nan,
33,0.32,-4,12,1.67772e+07,
34,0.33,-3.8,12.4,nan,
35,0.34,-3.6,12.8,nan,
36,0.35,-3.4,13.2,nan,
37,0.36,-3.2,13.6,nan,
38,0.37,-3,14,4.78297e+06,
39,0.38,-2.8,14.4,nan,
40,0.39,-2.6,14.8,nan,
41,0.4,-2.4,15.2,nan,
42,0.41,-2.2,15.6,nan,
43,0.42,-2,16,65536,
44,0.43,-1.8,16.4,nan,
45,0.44,-1.6,16.8,nan,
46,0.45,-1.4,17.2,nan,
47,0.46,-1.2,17.6,nan,
48,0.47,-1,18,1,
49,0.48,-0.8,18.4,nan,
50,0.49,-0.6,18.8,nan,
51,0.5,-0.4,19.2,nan,
52,0.51,-0.2,19.6,nan,
53,0.52,0,0,1,
54,0.53,0.2,0.4,0.525306,
55,0.54,0.4,0.8,0.48045,
56,0.55,0.6,1.2,0.541728,
57,0.56,0.8,1.6,0.699752,
58,0.57,1,2,1,
59,0.58,1.2,2.4,1.54894,
60,0.59,1.4,2.8,2.56542,
61,0.6,1.6,3.2,4.4997,
62,0.61,1.8,3.6,8.29814,
63,0.62,2,4,16,
64,0.63,2.2,4.4,32.1114,
65,0.64,2.4,4.8,66.8365,
66,0.65,2.6,5.2,143.834,
67,0.66,2.8,5.6,319.216,
68,0.67,3,6,729,
69,0.68,3.2,6.4,1709.86,
70,0.69,3.4,6.8,4112.03,
71,0.7,3.6,7.2,10124.6,
72,0.71,3.8,7.6,25489.1,
73,0.72,4,8,65536,
74,0.73,4.2,8.4,171907,
75,0.74,4.4,8.8,459604,
76,0.75,4.6,9.2,1.25133e+06,
77,0.76,4.8,9.6,3.4667e+06,
78,0.77,5,10,9.76562e+06,
79,0.78,5.2,10.4,2.79534e+07,
80,0.79,5.4,10.8,8.12555e+07,
81,0.8,5.6,11.2,2.39721e+08,
82,0.81,5.8,11.6,7.17406e+08,
83,0.82,6,12,2.17678e+09,
84,0.83,6.2,12.4,6.69356e+09,
85,0.84,6.4,12.8,2.08499e+10,
86,0.85,6.6,13.2,6.57627e+10,
87,0.86,6.8,13.6,2.09953e+11,
88,0.87,7,14,6.78223e+11,
89,0.88,7.2,14.4,2.21609e+12,
90,0.89,7.4,14.8,7.322e+12,
91,0.9,7.6,15.2,2.44549e+13,
92,0.91,7.8,15.6,8.25422e+13,
93,0.92,8,16,2.81475e+14,
94,0.93,8.2,16.4,9.69499e+14,
95,0.94,8.4,16.8,3.37203e+15,
96,0.95,8.6,17.2,1.18406e+16,
97,0.96,8.8,17.6,4.19658e+16,
98,0.97,9,18,1.50095e+17,
99,0.98,9.2,18.4,5.41622e+17,
100,0.99,9.4,18.8,1.97153e+18,
101,1,9.6,19.2,7.23782e+18,
102,1.01,9.8,19.6,2.67936e+19,
103,1.02,-10,0,1,
104,1.03,-9.8,0.4,nan,
105,1.04,-9.6,0.8,nan,
106,1.05,-9.4,1.2,nan,
107,1.06,-9.2,1.6,nan,
108,1.07,-9,2,81,
109,1.08,-8.8,2.4,nan,
110,1.09,-8.6,2.8,nan,
111,1.1,-8.4,3.2,nan,
112,1.11,-8.2,3.6,nan,
