Line,Time,saw 1,saw 2,
1,0,0,0,
2,0.01,0,0,
3,0.02,0,0,
4,0.03,0.2,0.447214,
5,0.04,0.4,0.632456,
6,0.05,0.6,0.774597,
7,0.06,0.8,0.894427,
8,0.07,1,1,
9,0.08,1.2,1.09545,
10,0.09,1.4,1.18322,
11,0.1,1.6,1.26491,
12,0.11,1.8,1.34164,
13,0.12,2,1.41421,
14,0.13,2.2,1.48324,
15,0.14,2.4,1.54919,
16,0.15,2.6,1.61245,
17,0.16,2.8,1.67332,
18,0.17,3,1.73205,
19,0.18,3.2,1.78885,
20,0.19,3.4,1.84391,
21,0.2,3.6,1.89737,
22,0.21,3.8,1.94936,
23,0.22,4,2,
24,0.23,4.2,2.04939,
25,0.24,4.4,2.09762,
26,0.25,4.6,2.14476,
27,0.26,4.8,2.19089,
28,0.27,5,2.23607,
29,0.28,5.2,2.28035,
30,0.29,5.4,2.32379,
31,0.3,5.6,2.36643,
32,0.31,5.8,2.40832,
33,0.32,6,2.44949,
34,0.33,6.2,2.48998,
35,0.34,6.4,2.52982,
36,0.35,6.6,2.56905,
37,0.36,6.8,2.60768,
38,0.37,7,2.64575,
39,0.38,7.2,2.68328,
40,0.39,7.4,2.72029,
41,0.4,7.6,2.75681,
42,0.41,7.8,2.79285,
43,0.42,8,2.82843,
44,0.43,8.2,2.86356,
45,0.44,8.4,2.89828,
46,0.45,8.6,2.93258,
47,0.46,8.8,2.96648,
48,0.47,9,3,
49,0.48,9.2,3.03315,
50,0.49,9.4,3.06594,
51,0.5,9.6,3.09839,
52,0.51,9.8,3.1305,
53,0.52,10,3.16228,
54,0.53,10.2,3.19374,
55,0.54,10.4,3.2249,
56,0.55,10.6,3.25576,
57,0.56,10.8,3.28634,
58,0.57,11,3.31662,
59,0.58,11.2,3.34664,
60,0.59,11.4,3.37639,
61,0.6,11.6,3.40588,
62,0.61,11.8,3.43511,
63,0.62,12,3.4641,
64,0.63,12.2,3.49285,
65,0.64,12.4,3.52136,
66,0.65,12.6,3.54965,
67,0.66,12.8,3.57771,
68,0.67,13,3.60555,
69,0.68,13.2,3.63318,
70,0.69,13.4,3.6606,
71,0.7,13.6,3.68782,
72,0.71,13.8,3.71484,
73,0.72,14,3.74166,
74,0.73,14.2,3.76829,
75,0.74,14.4,3.79473,
76,0.75,14.6,3.82099,
77,0.76,14.8,3.84708,
78,0.77,15,3.87298,
79,0.78,15.2,3.89872,
80,0.79,15.4,3.92428,
81,0.8,15.6,3.94968,
82,0.81,15.8,3.97492,
83,0.82,16,4,
84,0.83,16.2,4.02492,
85,0.84,16.4,4.04969,
86,0.85,16.6,4.07431,
87,0.86,16.8,4.09878,
88,0.87,17,4.12311,
89,0.88,17.2,4.14729,
90,0.89,17.4,4.17133,
91,0.9,17.6,4.19524,
92,0.91,17.8,4.219,
93,0.92,18,4.24264,
94,0.93,18.2,4.26615,
95,0.94,18.4,4.28952,
96,0.95,18.6,4.31277,
97,0.96,18.8,4.3359,
98,0.97,19,4.3589,
99,0.98,19.2,4.38178,
100,0.99,19.4,4.40454,
101,1,19.6,4.42719,
102,1.01,19.8,4.44972,
103,1.02,0,0,
104,1.03,0.2,0.447214,
105,1.04,0.4,0.632456,
106,1.05,0.6,0.774597,
107,1.06,0.8,0.894427,
108,1.07,1,1,
109,1.08,1.2,1.09545,
110,1.09,1.4,1.18322,
111,1.1,1.6,1.26491,
112,1.11,1.8,1.34164,
