Line;Time;saw 1;result;
1;0;0;0;
2;0.01;-10;-0.648361;
3;0.02;-10;-0.648361;
4;0.03;-9.8;-0.393883;
5;0.04;-9.6;-0.177038;
6;0.05;-9.4;0.024783;
7;0.06;-9.2;0.228642;
8;0.07;-9;0.452316;
9;0.08;-8.8;0.721147;
10;0.09;-8.6;1.08203;
11;0.1;-8.4;1.64571;
12;0.11;-8.2;2.77375;
13;0.12;-8;6.79971;
14;0.13;-7.8;-18.5068;
15;0.14;-7.6;-3.85227;
16;0.15;-7.4;-2.04928;
17;0.16;-7.2;-1.30462;
18;0.17;-7;-0.871448;
19;0.18;-6.8;-0.56834;
20;0.19;-6.6;-0.327858;
21;0.2;-6.4;-0.117349;
22;0.21;-6.2;0.0833777;
23;0.22;-6;0.291006;
24;0.23;-5.8;0.524666;
25;0.24;-5.6;0.813943;
26;0.25;-5.4;1.21754;
27;0.26;-5.2;1.88564;
28;0.27;-5;3.38052;
29;0.28;-4.8;11.3849;
30;0.29;-4.6;-8.86017;
31;0.3;-4.4;-3.09632;
32;0.31;-4.2;-1.77778;
33;0.32;-4;-1.15782;
34;0.33;-3.8;-0.773556;
35;0.34;-3.6;-0.493467;
36;0.35;-3.4;-0.264317;
37;0.36;-3.2;-0.0584739;
38;0.37;-3;0.142547;
39;0.38;-2.8;0.35553;
40;0.39;-2.6;0.601597;
41;0.4;-2.4;0.916014;
42;0.41;-2.2;1.37382;
43;0.42;-2;2.18504;
44;0.43;-1.8;4.28626;
45;0.44;-1.6;34.2325;
46;0.45;-1.4;-5.79788;
47;0.46;-1.2;-2.57215;
48;0.47;-1;-1.55741;
49;0.48;-0.8;-1.02964;
50;0.49;-0.6;-0.684137;
51;0.5;-0.4;-0.422793;
52;0.51;-0.2;-0.20271;
53;0.52;0;0;
54;0.53;0.2;0.20271;
55;0.54;0.4;0.422793;
56;0.55;0.6;0.684137;
57;0.56;0.8;1.02964;
58;0.57;1;1.55741;
59;0.58;1.2;2.57215;
60;0.59;1.4;5.79788;
61;0.6;1.6;-34.2325;
62;0.61;1.8;-4.28626;
63;0.62;2;-2.18504;
64;0.63;2.2;-1.37382;
65;0.64;2.4;-0.916014;
66;0.65;2.6;-0.601597;
67;0.66;2.8;-0.35553;
68;0.67;3;-0.142547;
69;0.68;3.2;0.0584739;
70;0.69;3.4;0.264317;
71;0.7;3.6;0.493467;
72;0.71;3.8;0.773556;
73;0.72;4;1.15782;
74;0.73;4.2;1.77778;
75;0.74;4.4;3.09632;
76;0.75;4.6;8.86017;
77;0.76;4.8;-11.3849;
78;0.77;5;-3.38052;
79;0.78;5.2;-1.88564;
80;0.79;5.4;-1.21754;
81;0.8;5.6;-0.813943;
82;0.81;5.8;-0.524666;
83;0.82;6;-0.291006;
84;0.83;6.2;-0.0833777;
85;0.84;6.4;0.117349;
86;0.85;6.6;0.327858;
87;0.86;6.8;0.56834;
88;0.87;7;0.871448;
89;0.88;7.2;1.30462;
90;0.89;7.4;2.04928;
91;0.9;7.6;3.85227;
92;0.91;7.8;18.5068;
93;0.92;8;-6.79971;
94;0.93;8.2;-2.77375;
95;0.94;8.4;-1.64571;
96;0.95;8.6;-1.08203;
97;0.96;8.8;-0.721147;
98;0.97;9;-0.452316;
99;0.98;9.2;-0.228642;
100;0.99;9.4;-0.024783;
101;1;9.6;0.177038;
102;1.01;9.8;0.393883;
103;1.02;-10;-0.648361;
104;1.03;-9.8;-0.393883;
105;1.04;-9.6;-0.177038;
106;1.05;-9.4;0.024783;
107;1.06;-9.2;0.228642;
108;1.07;-9;0.452316;
109;1.08;-8.8;0.721147;
110;1.09;-8.6;1.08203;
111;1.1;-8.4;1.64571;
112;1.11;-8.2;2.77375;
