Line,Time,saw 1,Result 0,Result 1000,Result -1000,
1,0,0,0,1000,-1000,
2,0.01,-1.1,nan,nan,nan,
3,0.02,-1.1,nan,nan,nan,
4,0.03,-1.078,nan,nan,nan,
5,0.04,-1.056,nan,nan,nan,
6,0.05,-1.034,nan,nan,nan,
7,0.06,-1.012,nan,nan,nan,
8,0.07,-0.99,-2.64665,-2.64665,-2.64665,
9,0.08,-0.968,-2.05952,-2.05952,-2.05952,
10,0.09,-0.946,-1.79227,-1.79227,-1.79227,
11,0.1,-0.924,-1.61571,-1.61571,-1.61571,
12,0.11,-0.902,-1.48285,-1.48285,-1.48285,
13,0.12,-0.88,-1.37577,-1.37577,-1.37577,
14,0.13,-0.858,-1.28571,-1.28571,-1.28571,
15,0.14,-0.836,-1.20774,-1.20774,-1.20774,
16,0.15,-0.814,-1.13877,-1.13877,-1.13877,
17,0.16,-0.792,-1.07677,-1.07677,-1.07677,
18,0.17,-0.77,-1.02033,-1.02033,-1.02033,
19,0.18,-0.748,-0.968399,-0.968399,-0.968399,
20,0.19,-0.726,-0.920217,-0.920217,-0.920217,
21,0.2,-0.704,-0.875187,-0.875187,-0.875187,
22,0.21,-0.682,-0.832844,-0.832844,-0.832844,
23,0.22,-0.66,-0.792814,-0.792814,-0.792814,
24,0.23,-0.638,-0.754794,-0.754794,-0.754794,
25,0.24,-0.616,-0.718533,-0.718533,-0.718533,
26,0.25,-0.594,-0.683824,-0.683824,-0.683824,
27,0.26,-0.572,-0.65049,-0.65049,-0.65049,
28,0.27,-0.55,-0.618381,-0.618381,-0.618381,
29,0.28,-0.528,-0.587368,-0.587368,-0.587368,
30,0.29,-0.506,-0.557338,-0.557338,-0.557338,
31,0.3,-0.484,-0.528195,-0.528195,-0.528195,
32,0.31,-0.462,-0.499851,-0.499851,-0.499851,
33,0.32,-0.44,-0.472231,-0.472231,-0.472231,
34,0.33,-0.418,-0.445266,-0.445266,-0.445266,
35,0.34,-0.396,-0.418896,-0.418896,-0.418896,
36,0.35,-0.374,-0.393066,-0.393066,-0.393066,
37,0.36,-0.352,-0.367725,-0.367725,-0.367725,
38,0.37,-0.33,-0.342828,-0.342828,-0.342828,
39,0.38,-0.308,-0.318334,-0.318334,-0.318334,
40,0.39,-0.286,-0.294204,-0.294204,-0.294204,
41,0.4,-0.264,-0.270403,-0.270403,-0.270403,
