Line;Time;clk 1;out 1;out 2;Floating Point Input 1;Floating Point Input 2;
1;0;False;0;0;0;0;
2;0.01;True;0;0;10;10;
3;0.02;True;0;0;10;10;
4;0.03;True;0.0627905;0;10.0628;10;
5;0.04;False;0.125333;0;10.1253;10;
6;0.05;False;0.187381;0;10.1874;10;
7;0.06;True;0.24869;0.24869;10.2487;10.2487;
8;0.07;True;0.309017;0.24869;10.309;10.2487;
9;0.08;False;0.368125;0.24869;10.3681;10.2487;
10;0.09;False;0.425779;0.24869;10.4258;10.2487;
11;0.1;True;0.481754;0.481754;10.4818;10.4818;
12;0.11;True;0.535827;0.481754;10.5358;10.4818;
13;0.12;False;0.587785;0.481754;10.5878;10.4818;
14;0.13;False;0.637424;0.481754;10.6374;10.4818;
15;0.14;True;0.684547;0.684547;10.6845;10.6845;
16;0.15;True;0.728969;0.684547;10.729;10.6845;
17;0.16;False;0.770513;0.684547;10.7705;10.6845;
18;0.17;False;0.809017;0.684547;10.809;10.6845;
19;0.18;True;0.844328;0.844328;10.8443;10.8443;
20;0.19;True;0.876307;0.844328;10.8763;10.8443;
21;0.2;False;0.904827;0.844328;10.9048;10.8443;
22;0.21;False;0.929776;0.844328;10.9298;10.8443;
23;0.22;True;0.951057;0.951057;10.9511;10.9511;
24;0.23;True;0.968583;0.951057;10.9686;10.9511;
25;0.24;False;0.982287;0.951057;10.9823;10.9511;
26;0.25;False;0.992115;0.951057;10.9921;10.9511;
27;0.26;True;0.998027;0.998027;10.998;10.998;
28;0.27;True;1;0.998027;11;10.998;
29;0.28;False;0.998027;0.998027;10.998;10.998;
30;0.29;False;0.992115;0.998027;10.9921;10.998;
31;0.3;True;0.982287;0.982287;10.9823;10.9823;
32;0.31;True;0.968583;0.982287;10.9686;10.9823;
33;0.32;False;0.951057;0.982287;10.9511;10.9823;
34;0.33;False;0.929776;0.982287;10.9298;10.9823;
35;0.34;True;0.904827;0.904827;10.9048;10.9048;
36;0.35;True;0.876307;0.904827;10.8763;10.9048;
37;0.36;False;0.844328;0.904827;10.8443;10.9048;
38;0.37;False;0.809017;0.904827;10.809;10.9048;
39;0.38;True;0.770513;0.770513;10.7705;10.7705;
40;0.39;True;0.728969;0.770513;10.729;10.7705;
41;0.4;False;0.684547;0.770513;10.6845;10.7705;
42;0.41;False;0.637424;0.770513;10.6374;10.7705;
43;0.42;True;0.587785;0.587785;10.5878;10.5878;
44;0.43;True;0.535827;0.587785;10.5358;10.5878;
45;0.44;False;0.481754;0.587785;10.4818;10.5878;
46;0.45;False;0.425779;0.587785;10.4258;10.5878;
47;0.46;True;0.368125;0.368125;10.3681;10.3681;
48;0.47;True;0.309017;0.368125;10.309;10.3681;
49;0.48;False;0.24869;0.368125;10.2487;10.3681;
50;0.49;False;0.187381;0.368125;10.1874;10.3681;
51;0.5;True;0.125333;0.125333;10.1253;10.1253;
52;0.51;True;0.0627905;0.125333;10.0628;10.1253;
53;0.52;False;1.22461e-16;0.125333;10;10.1253;
54;0.53;False;-0.0627905;0.125333;9.93721;10.1253;
55;0.54;True;-0.125333;-0.125333;9.87467;9.87467;
56;0.55;True;-0.187381;-0.125333;9.81262;9.87467;
57;0.56;False;-0.24869;-0.125333;9.75131;9.87467;
58;0.57;False;-0.309017;-0.125333;9.69098;9.87467;
59;0.58;True;-0.368125;-0.368125;9.63188;9.63188;
60;0.59;True;-0.425779;-0.368125;9.57422;9.63188;
61;0.6;False;-0.481754;-0.368125;9.51825;9.63188;
62;0.61;False;-0.535827;-0.368125;9.46417;9.63188;
63;0.62;True;-0.587785;-0.587785;9.41221;9.41221;
64;0.63;True;-0.637424;-0.587785;9.36258;9.41221;
65;0.64;False;-0.684547;-0.587785;9.31545;9.41221;
66;0.65;False;-0.728969;-0.587785;9.27103;9.41221;
67;0.66;True;-0.770513;-0.770513;9.22949;9.22949;
68;0.67;True;-0.809017;-0.770513;9.19098;9.22949;
69;0.68;False;-0.844328;-0.770513;9.15567;9.22949;
70;0.69;False;-0.876307;-0.770513;9.12369;9.22949;
71;0.7;True;-0.904827;-0.904827;9.09517;9.09517;
72;0.71;True;-0.929776;-0.904827;9.07022;9.09517;
73;0.72;False;-0.951057;-0.904827;9.04894;9.09517;
74;0.73;False;-0.968583;-0.904827;9.03142;9.09517;
75;0.74;True;-0.982287;-0.982287;9.01771;9.01771;
76;0.75;True;-0.992115;-0.982287;9.00789;9.01771;
77;0.76;False;-0.998027;-0.982287;9.00197;9.01771;
78;0.77;False;-1;-0.982287;9;9.01771;
79;0.78;True;-0.998027;-0.998027;9.00197;9.00197;
80;0.79;True;-0.992115;-0.998027;9.00789;9.00197;
81;0.8;False;-0.982287;-0.998027;9.01771;9.00197;
82;0.81;False;-0.968583;-0.998027;9.03142;9.00197;
83;0.82;True;-0.951057;-0.951057;9.04894;9.04894;
84;0.83;True;-0.929776;-0.951057;9.07022;9.04894;
85;0.84;False;-0.904827;-0.951057;9.09517;9.04894;
86;0.85;False;-0.876307;-0.951057;9.12369;9.04894;
87;0.86;True;-0.844328;-0.844328;9.15567;9.15567;
88;0.87;True;-0.809017;-0.844328;9.19098;9.15567;
89;0.88;False;-0.770513;-0.844328;9.22949;9.15567;
90;0.89;False;-0.728969;-0.844328;9.27103;9.15567;
91;0.9;True;-0.684547;-0.684547;9.31545;9.31545;
92;0.91;True;-0.637424;-0.684547;9.36258;9.31545;
93;0.92;False;-0.587785;-0.684547;9.41221;9.31545;
94;0.93;False;-0.535827;-0.684547;9.46417;9.31545;
95;0.94;True;-0.481754;-0.481754;9.51825;9.51825;
96;0.95;True;-0.425779;-0.481754;9.57422;9.51825;
97;0.96;False;-0.368125;-0.481754;9.63188;9.51825;
98;0.97;False;-0.309017;-0.481754;9.69098;9.51825;
99;0.98;True;-0.24869;-0.24869;9.75131;9.75131;
100;0.99;True;-0.187381;-0.24869;9.81262;9.75131;
101;1;False;-0.125333;-0.24869;9.87467;9.75131;
102;1.01;False;-0.0627905;-0.24869;9.93721;9.75131;
103;1.02;True;0;0;10;10;
104;1.03;True;0.0627905;0;10.0628;10;
105;1.04;False;0.125333;0;10.1253;10;
106;1.05;False;0.187381;0;10.1874;10;
107;1.06;True;0.24869;0.24869;10.2487;10.2487;
108;1.07;True;0.309017;0.24869;10.309;10.2487;
109;1.08;False;0.368125;0.24869;10.3681;10.2487;
110;1.09;False;0.425779;0.24869;10.4258;10.2487;
111;1.1;True;0.481754;0.481754;10.4818;10.4818;
112;1.11;True;0.535827;0.481754;10.5358;10.4818;
