Line;Time;saw 1;saw 2;saw 3;max;min;
1;0;0;0;0;0;0;
2;0.01;-1;-1;-1;0;-1;
3;0.02;-1;-1;-1;0;-1;
4;0.03;-0.98;-0.96;-0.92;0;-0.98;
5;0.04;-0.96;-0.92;-0.84;0;-0.96;
6;0.05;-0.94;-0.88;-0.76;0;-0.94;
7;0.06;-0.92;-0.84;-0.68;0;-0.92;
8;0.07;-0.9;-0.8;-0.6;0;-0.9;
9;0.08;-0.88;-0.76;-0.52;0;-0.88;
10;0.09;-0.86;-0.72;-0.44;0;-0.86;
11;0.1;-0.84;-0.68;-0.36;0;-0.84;
12;0.11;-0.82;-0.64;-0.28;0;-0.82;
13;0.12;-0.8;-0.6;-0.2;0;-0.8;
14;0.13;-0.78;-0.56;-0.12;0;-0.78;
15;0.14;-0.76;-0.52;-0.04;0;-0.76;
16;0.15;-0.74;-0.48;0.04;0.04;-0.74;
17;0.16;-0.72;-0.44;0.12;0.12;-0.72;
18;0.17;-0.7;-0.4;0.2;0.2;-0.7;
19;0.18;-0.68;-0.36;0.28;0.28;-0.68;
20;0.19;-0.66;-0.32;0.36;0.36;-0.66;
21;0.2;-0.64;-0.28;0.44;0.44;-0.64;
22;0.21;-0.62;-0.24;0.52;0.52;-0.62;
23;0.22;-0.6;-0.2;0.6;0.6;-0.6;
24;0.23;-0.58;-0.16;0.68;0.68;-0.58;
25;0.24;-0.56;-0.12;0.76;0.76;-0.56;
26;0.25;-0.54;-0.08;0.84;0.84;-0.54;
27;0.26;-0.52;-0.04;0.92;0.92;-0.52;
28;0.27;-0.5;0;-1;0;-1;
29;0.28;-0.48;0.04;-0.92;0.04;-0.92;
30;0.29;-0.46;0.08;-0.84;0.08;-0.84;
31;0.3;-0.44;0.12;-0.76;0.12;-0.76;
32;0.31;-0.42;0.16;-0.68;0.16;-0.68;
33;0.32;-0.4;0.2;-0.6;0.2;-0.6;
34;0.33;-0.38;0.24;-0.52;0.24;-0.52;
35;0.34;-0.36;0.28;-0.44;0.28;-0.44;
36;0.35;-0.34;0.32;-0.36;0.32;-0.36;
37;0.36;-0.32;0.36;-0.28;0.36;-0.32;
38;0.37;-0.3;0.4;-0.2;0.4;-0.3;
39;0.38;-0.28;0.44;-0.12;0.44;-0.28;
40;0.39;-0.26;0.48;-0.04;0.48;-0.26;
41;0.4;-0.24;0.52;0.04;0.52;-0.24;
42;0.41;-0.22;0.56;0.12;0.56;-0.22;
43;0.42;-0.2;0.6;0.2;0.6;-0.2;
44;0.43;-0.18;0.64;0.28;0.64;-0.18;
45;0.44;-0.16;0.68;0.36;0.68;-0.16;
46;0.45;-0.14;0.72;0.44;0.72;-0.14;
47;0.46;-0.12;0.76;0.52;0.76;-0.12;
48;0.47;-0.1;0.8;0.6;0.8;-0.1;
49;0.48;-0.08;0.84;0.68;0.84;-0.08;
50;0.49;-0.06;0.88;0.76;0.88;-0.06;
51;0.5;-0.04;0.92;0.84;0.92;-0.04;
52;0.51;-0.02;0.96;0.92;0.96;-0.02;
53;0.52;0;-1;-1;0;-1;
54;0.53;0.02;-0.96;-0.92;0.02;-0.96;
55;0.54;0.04;-0.92;-0.84;0.04;-0.92;
56;0.55;0.06;-0.88;-0.76;0.06;-0.88;
57;0.56;0.08;-0.84;-0.68;0.08;-0.84;
58;0.57;0.1;-0.8;-0.6;0.1;-0.8;
59;0.58;0.12;-0.76;-0.52;0.12;-0.76;
60;0.59;0.14;-0.72;-0.44;0.14;-0.72;
61;0.6;0.16;-0.68;-0.36;0.16;-0.68;
