Line,Time,saw 1,1T R0,10ms R1000,T10 R0,100ms R-1000,
1,0,-11,0,1000,0,-1000,
2,0.01,-11,-11,-11,0,-1000,
3,0.02,-10.78,-11,-11,0,-1000,
4,0.03,-10.56,-10.78,-10.78,0,-1000,
5,0.04,-10.34,-10.56,-10.56,0,-1000,
6,0.05,-10.12,-10.34,-10.34,0,-1000,
7,0.06,-9.9,-10.12,-10.12,0,-1000,
8,0.07,-9.68,-9.9,-9.9,0,-1000,
9,0.08,-9.46,-9.68,-9.68,0,-1000,
10,0.09,-9.24,-9.46,-9.46,0,-1000,
11,0.1,-9.02,-9.24,-9.24,-11,-11,
12,0.11,-8.8,-9.02,-9.02,-11,-11,
13,0.12,-8.58,-8.8,-8.8,-10.78,-10.78,
14,0.13,-8.36,-8.58,-8.58,-10.56,-10.56,
15,0.14,-8.14,-8.36,-8.36,-10.34,-10.34,
16,0.15,-7.92,-8.14,-8.14,-10.12,-10.12,
17,0.16,-7.7,-7.92,-7.92,-9.9,-9.9,
18,0.17,-7.48,-7.7,-7.7,-9.68,-9.68,
19,0.18,-7.26,-7.48,-7.48,-9.46,-9.46,
20,0.19,-7.04,-7.26,-7.26,-9.24,-9.24,
21,0.2,-6.82,-7.04,-7.04,-9.02,-9.02,
22,0.21,-6.6,-6.82,-6.82,-8.8,-8.8,
23,0.22,-6.38,-6.6,-6.6,-8.58,-8.58,
24,0.23,-6.16,-6.38,-6.38,-8.36,-8.36,
25,0.24,-5.94,-6.16,-6.16,-8.14,-8.14,
26,0.25,-5.72,-5.94,-5.94,-7.92,-7.92,
27,0.26,-5.5,-5.72,-5.72,-7.7,-7.7,
28,0.27,-5.28,-5.5,-5.5,-7.48,-7.48,
29,0.28,-5.06,-5.28,-5.28,-7.26,-7.26,
30,0.29,-4.84,-5.06,-5.06,-7.04,-7.04,
31,0.3,-4.62,-4.84,-4.84,-6.82,-6.82,
32,0.31,-4.4,-4.62,-4.62,-6.6,-6.6,
33,0.32,-4.18,-4.4,-4.4,-6.38,-6.38,
34,0.33,-3.96,-4.18,-4.18,-6.16,-6.16,
35,0.34,-3.74,-3.96,-3.96,-5.94,-5.94,
36,0.35,-3.52,-3.74,-3.74,-5.72,-5.72,
37,0.36,-3.3,-3.52,-3.52,-5.5,-5.5,
38,0.37,-3.08,-3.3,-3.3,-5.28,-5.28,
39,0.38,-2.86,-3.08,-3.08,-5.06,-5.06,
40,0.39,-2.64,-2.86,-2.86,-4.84,-4.84,
