Line,Time,1 ExtConn,2 ExtConn,3 ExtConn,4 ExtConn,Saw,Loop 1,Loop 2,Loop 3,Loop 4,
1,0,-11,-11,-11,-11,-11,0,0,0,0,
2,0.01,-11,-11,-11,-11,-11,0,0,0,0,
3,0.02,-10.78,-10.78,-10.78,-10.78,-10.78,0,0,0,0,
4,0.03,-10.56,-10.56,-10.56,-10.56,-10.56,0,0,0,0,
5,0.04,-10.34,-10.34,-10.34,-10.34,-10.34,0,0,0,0,
6,0.05,-10.12,-10.12,-10.12,-10.12,-10.12,0,0,0,0,
7,0.06,-9.9,-9.9,-9.9,-9.9,-9.9,0,0,0,0,
8,0.07,-9.68,-9.68,-9.68,-9.68,-9.68,0,0,0,0,
9,0.08,-9.46,-9.46,-9.46,-9.46,-9.46,0,0,0,0,
10,0.09,-9.24,-9.24,-9.24,-9.24,-9.24,0,0,0,0,
11,0.1,-9.02,-9.02,-9.02,-9.02,-9.02,0,0,0,0,
12,0.11,-8.8,-8.8,-8.8,-8.8,-8.8,0,0,0,0,
